,Datetime,Username,Text,duplicate
37,2023-04-05 20:21:29+00:00,easyworker14,"@GanjaranApp Tentu saja Pak Ganjar ingin, yang pernyataan Pak Ganjar ini menolak Israel. Bukan tidak ingin bangsa ini bisa bermain di piala dunia U-20",False
38,2023-04-05 20:21:27+00:00,Bolalob,"Federasi Futsal Indonesia (FFI) telah ajukan diri menjadi host AFC Futsal Asian Cup 2024. FFI juga berharap tidak ada sanksi untuk Indonesia efek batalnya Piala Dunia U-20.

Ajang kualifikasi Piala Dunia 2024. Venue mana yang menurut kalian layak lob?

#ACFutsal2024
#TimnasFutsal https://t.co/3LSZUXS2I6",False
39,2023-04-05 20:20:36+00:00,Cntikadwirtna,"@GanjaranApp Penolakan yang Pak Ganjar nyatakan memang tidak hanya sekedar itu, namun mencari solusi agar bagaimana piala dunia U-20 di Indonesia tetap bisa terselenggara tanpa adanya isreal",False
40,2023-04-05 20:09:02+00:00,Farahambar1,"@GanjaranApp @ganjar_pranowo Tidak ada niat di dalam diri Pak Ganjar ingin menghancurkan mimpi anak bangsa, namun memang gagalnya penyelenggaraan piala dunia U-20 ini sepenuhnya harus karna keputusan FIFA yang kurang tepat",False
41,2023-04-05 19:40:27+00:00,Pengkritikindo,"🏆: ASIAN CUP QATAR 2023 
optimis Indonesia ke perempat final ☝
⚽ : berduka atas indoensia yg gagal menjadi tuan rumah Piala Dunia U-20 2023 🥀
Tapi masih ada jadwal piala Asia di qatar semoga bisa membawa nama harum bangsa Indonesia aminn🙏
#AFCON2023Q #AsiaCup2023 https://t.co/pgVsnmRaac",False
42,2023-04-05 19:01:11+00:00,nusabalicom,"Menteri PUPR Bantah Infrastruktur Tidak Siap, Di Balik Batalnya Indonesia Jadi Tuan Rumah Piala Dunia U-20
https://t.co/agYUM3eetq",False
43,2023-04-05 18:33:14+00:00,FrankyTts,"Jurnalis Inggris Beberkan Alasan RI Batal Jadi Host Pildun U-20 karena kondisi lapangan dimana FIFA merasa bahwa Indonesia tidak akan siap gelar Piala Dunia U-20 berdasarkan kunjungan lapangan sementara pembicaraan tentang partisipasi Israel berlangsung
https://t.co/L86tc8ch9E.",False
44,2023-04-05 18:30:01+00:00,Bolanet,"Piala Dunia U-20 batal digelar di tanah air, Justin Hubner dkk tetap berminat bela Timnas Indonesia.
https://t.co/uAmilW7yRr",False
45,2023-04-05 18:24:28+00:00,SaragihKamal,"Terjawab sudah bukan karena statmen Ganjar, piala Dunia U 20 batal, dia hanyalah sebagai Gubernur Jateng https://t.co/3aJEcplwf3",False
46,2023-04-05 18:01:22+00:00,Jam_Ngabuburit,"@BabangJag00 @AltoLuger Sebelum di coret  indonesia nggak akan masuk piala dunia bro,   timnas indonesia masuk pildun u-20 karna menjadi tuan rumah..  kalau gak jadi tuan rumah gak bakal masuk
Karena masuk nya bukan lewat jalur prestasi  tapi jalur tuan rumah",False
47,2023-04-05 17:56:53+00:00,Jam_Ngabuburit,"@AltoLuger Timnas Indonesia  masuk piala dunia u-20   bukan  dari jalur pristasi tapi dari jalur tuan rumah,,, 
Jadi jangan bangga jadi tuan rumah  
Kalau pengin dari jalur prestasi kalah kan dulu  tim Thailand dan malasiya",False
48,2023-04-05 17:53:46+00:00,budibuir,"@007koteka Trus klw gak ttd, anda menilai apa yg d lakukan GP sebagai Gubernur membangkang pd Presiden (Pemerintah Pusat) sudah benar?? 
Inti nya ,GP adalah salah seorang aktor yg punya andil menggagalkan Piala dunia U-20 di Indonesia dan Gubernur pembangkang pada Jokowi.
Kami akan ingat !!",False
49,2023-04-05 17:46:59+00:00,BEMUPGRIS_,"[POLITISASI SEPAK BOLA BERUJUNG SANKSI UNTUK INDONESIA] 

FIFA memutuskan mencabut status Indonesia menjadi tuan rumah Piala Dunia U-20 2023. Rabu (29/3/2023), menjadi akhir dari mimpi Indonesia berlaga di Piala Dunia U-20 2023. https://t.co/skRkyTIfY3",False
50,2023-04-05 17:40:18+00:00,bertosepi,"apakah untuk meredam gejolak akibat Indonesia batal jadi tuan rumah piala dunia u-20 yang berimbas pada menurunnya populeritas partai maka mulai dimunculkan cerita ancaman teroris dari luar negeri ?
coba menakut-nakuti rakyat ?
ckckckck
#timnasu20 #isuteroris #indonesia https://t.co/wg4vxXmt9i",False
51,2023-04-05 17:39:09+00:00,Mira_SasMiita,"Akibat pembatalan piala Dunia U20, maka timnas U-20 secara resmi dibubarkan. ""Hari ini, dengan berat hati, saya mengundang seluruh panitia Piala Dunia U-20 2023 untuk memberitahukan bahwa tim ini saya bubarkan."" @erickthohir 

#GueBarengErickThohir https://t.co/QOA6PTUtpG",False
52,2023-04-05 17:35:54+00:00,Mira_SasMiita,"Ketua Umum PSSI @erickthohir mengaku kurang tidur karena mengurus Piala Dunia U-20 2023. Upaya maksimal sudah dilakukan namun turnamen junior level dunia itu batal terlaksana.
Pembatalan ini merupakan pelajaran untuk banyak pihak. 

#GueBarengErickThohir https://t.co/KqbuQmqPoM",False
53,2023-04-05 17:31:05+00:00,Mira_SasMiita,"Pengamat komunikasi politik dari dari Universitas Esa Unggul Jamiluddin Ritonga menilai, Ketua Umum PSSI Erick Thohir meraih dampak positif dari polemik Piala Dunia U-20.

Pak @erickthohir mendapat persepsi positif oleh sebagian masyarakat. 

#GueBarengErickThohir https://t.co/idtRsrdHpN",False
54,2023-04-05 17:29:31+00:00,Mira_SasMiita,"Ketua Umum PSSI Erick Thohir diyakini mampu menyelesaikan tantangan dan permasalahan sepak bola Indonesia setelah gagal menjadi tuan rumah piala dunia U- 20. Melihat sumber daya koneksi dan pengetahuan gigantik soal dunia olahraga yg dimiliki @erickthohir

#GueBarengErickThohir https://t.co/DflPZXFYsK",False
55,2023-04-05 17:07:55+00:00,abdrasyid70,"@jawapos Tdk layak jadi pemimpin Indonesia,baru aja terpilih jadi ketua PSSI sdh membuktikan ketidak mampuannya menjadikan Indonesia tuan rumah piala dunia u.20",False
56,2023-04-05 16:58:35+00:00,SyamsirHMSyari2,Dibalik Politik &amp; Batalnya Piala Dunia U-20 Di Indonesia | NI LUH https://t.co/odV5x4zGD1,False
57,2023-04-05 16:52:26+00:00,xpresswalang,"@SantorinisSun @StefanAntonio__ @RomeoWalker19 @Sgrdamai @alextham878 @PSSI di tahun 2021, saat mereka menandatangani commitment, ISRAEL belum masuk tim yang akan berlaga di  Piala Dunia U-20",False
58,2023-04-05 16:51:36+00:00,ndramlg_,"Pelajaran yang bisa di ambil dari gagalnya piala dunia U-20 di gelar di indonesia adalah memperkuat mental , konsisten dengan apa yg di ucapkan karna pantang bagi seorang lelaki menarik atau menjilat kembali apa yg sudah di omongkan

MASIH MUDA UDAH JADI PENJILAT CHUAAAAKZZZZZ",False
59,2023-04-05 16:38:51+00:00,SyamsirHMSyari2,PSSI Bicara Sanksi Batalnya Perhelatan Piala Dunia U-20 | NI LUH https://t.co/sDcSVi32Tl,False
60,2023-04-05 16:20:15+00:00,morin43993264,@AltoLuger Bagi saya dalam kasus piala dunia u-20 merupakan venomena gunung-es dimana dalam hal kesadaran politik indobesia belum matang/dewasa. Berniat mendukung palestina tidak harus dgn menutuskan hubungan dgn israel . Bagaimana indonesia dpt membantu palestina tanpa mengorbankqn diri?,False
61,2023-04-05 16:17:44+00:00,Ahmad_hendars,"Politikus PDIP Adian Napitupulu menegaskan Gubernur Jawa Tengah Ganjar Pranowo dan Gubernur Bali I Wayan Koster bukan pengambil keputusan soal gelaran Piala Dunia U-20 2023 di Indonesia.

https://t.co/iw3FquxYYy",False
62,2023-04-05 16:10:04+00:00,Edelweis_jesi,"Diantaranya, Ganjar tidak konsekuen karena sebelumnya telah setuju saat Indonesia mengajukan bidding menjadi host Piala Dunia U-20. Kedua, penolakan Ganjar lebih bermuatan politik elektoral menghadapi Pemilu 2024",False
63,2023-04-05 16:10:03+00:00,Edelweis_jesi,"Merdeka Institute for Public Opinion Survey (MIPOS) merilis survei terbaru terkait elektabilitas tokoh nasional yg digadang-gadang akan mengikuti kontestasi Pemilihan Presiden2024 mendatang, pasca batalnya Indonesia menjadi tuan rumah perhelatan Piala Dunia U-20, Rabu (5/4/2023).",False
64,2023-04-05 15:57:30+00:00,MashaNdeber,"Di antaranya, Ganjar tidak konsekuen karena sebelumnya telah setuju saat Indonesia mengajukan bidding menjadi host Piala Dunia U-20. 

#RakyatPilihPrabowo
#BangkitBersama 
Prabowo Subianto",False
65,2023-04-05 15:55:06+00:00,MashaNdeber,"pasca batalnya Indonesia menjadi tuan rumah pada perhelatan Piala Dunia U-20, Rabu (5/4/2023).

#RakyatPilihPrabowo
#BangkitBersama 
Prabowo Subianto",False
66,2023-04-05 15:52:41+00:00,baihaqisastraa,"@HusinShihab @JonathanRegulus @Pejabatbola @CoachJustinL @PSSI karna dari awal kan gamau nyampur adukan politik dan sepakbola, lagian Israel itu lolos piala dunia u-20 dari juni 2022, kemana suara yg menolak kehadiran Israel waktu ituu??kenapa baru sekarang???kenapa harus mepet??",False
67,2023-04-05 15:52:37+00:00,Advia4,"@has_meliala Sama🙏 terlepas dari pernyataan pak Ganjar mengenai piala dunia U 20,, saya juga berpikir saat ini pak Ganjar msh menjadi salah satu calon yg terbaik,, no Anies no puan no yg lain2🙂",False
